TimeStamp: 	1316435514296
Results1	17094.332675575064	10039.09	1.0	0.0	14566.745586492432	163	3	34	0.0	21.24	
Results2	15030.680107155851	8978.369999999995	1.0	0.0	12136.588156024662	156	3	41	0.0	20.17	
Results3	15578.503424157541	8867.749999999998	1.0	0.0	15334.349599489728	154	3	43	0.0	22.25	
Results4	15414.745613295601	9023.930000000002	1.0	0.0	12133.198653224099	160	4	36	0.0	20.42	
Results5	16471.58891719125	9362.350000000002	1.0	0.0	19592.871777073386	162	3	35	0.0	24.17	
Results6	16977.82171365513	9768.710000000001	1.0	0.0	14236.030673256315	167	5	28	0.0	21.17	
Results7	15273.43161542603	9063.150000000001	1.0	0.0	12769.451905055646	160	3	37	0.0	20.64	
Results8	17192.11954025259	10219.679999999997	1.0	0.0	12362.547330623973	170	3	27	0.0	20.51	
Results9	16483.31207415008	9421.46	1.0	0.0	11632.481074354911	167	3	30	0.0	20.95	
Results10	16074.273122042576	9608.730000000003	1.0	0.0	10868.895135888528	160	4	36	0.0	19.53	
Results11	17273.643284861635	9984.320000000003	1.0	0.0	13678.057067333653	171	2	27	0.0	21.37	
Results12	16189.079231768863	9299.409999999996	1.0	0.0	12790.827728010387	158	5	37	0.0	20.73	
Results13	16797.99136327366	9563.279999999999	1.0	0.0	12902.133963451322	168	5	27	0.0	20.64	
Results14	14677.044655500944	8709.799999999997	1.0	0.0	13960.258983914302	156	3	41	0.0	20.82	
Results15	16153.598376789043	9501.309999999996	1.0	0.0	12155.513527979578	168	3	29	0.0	20.85	
Results16	16983.70325885724	9733.039999999995	1.0	0.0	17261.256030267734	165	3	32	0.0	22.32	
Results17	15296.088565695867	8907.470000000001	1.0	0.0	11053.856717463083	166	5	29	0.0	20.14	
Results18	16006.965014868438	9288.400000000001	1.0	0.0	12780.945582357639	165	2	33	0.0	21.32	
Results19	15594.427561389315	9324.539999999999	1.0	0.0	13164.38436352796	158	4	38	0.0	20.24	
Results20	16083.672842897708	9165.560000000003	1.0	0.0	13010.004984556923	163	4	33	0.0	21.58	
Results21	15502.500940145677	9039.779999999999	1.0	0.0	14053.391609452392	164	4	32	0.0	21.11	
Results22	16751.149414208125	9832.660000000005	1.0	0.0	12821.601742030052	162	4	34	0.0	20.61	
Results23	16712.746864645287	9745.960000000006	1.0	0.0	13408.554669464742	169	5	26	0.0	20.2	
Results24	17140.35381449681	9904.119999999999	1.0	0.0	13623.981355427244	171	3	26	0.0	21.85	
Results25	16053.492831718238	9514.12	1.0	0.0	11815.110787106343	163	3	34	0.0	20.97	
Results26	14936.090154254392	8890.779999999999	1.0	0.0	13157.119495095409	160	4	36	0.0	20.86	
Results27	16159.968094985266	9534.3	1.0	0.0	12949.510881799975	165	5	30	0.0	21.08	
Results28	15514.05907334073	9417.299999999997	1.0	0.0	10233.589539805047	159	4	37	0.0	19.53	
Results29	14170.735019330721	8428.810000000003	1.0	0.0	12368.809938147662	158	3	39	0.0	20.35	
Results30	15001.600758966279	8712.56	1.0	0.0	13088.537979531762	155	4	41	0.0	20.7	
